switch_radix,switch_count,server_count,link_count
4,8,16,32
6,18,54,108
8,32,128,256
10,50,250,500
12,72,432,864
14,98,686,1372
16,128,1024,2048
32,512,8192,16384
64,2048,65536,131072
128,8192,524288,1048576
256,32768,4194304,8388608
